##	tous les examens suivants peuvent être pratiqués dans l’abcès du poumon sauf un :
&&	hémocultures répétées à chaque pic de fièvre
&&	échographie thoracique pour guider la ponction aspiration
&&	la fibroscopie bronchique
&&	le scanner thoracique
##	une des caractéristiques clinique suivantes fait penser à la DDB :
&&	bronchorrhée purulent surtout hivernale
&&	dyspnée d’effort
&&	infections parenchymateuses récidivantes de même siège
&&	syndrome pleurétique la compliquant ou la révélant
##	le traitement de DDB est :
&&	médical seulement
&&	médico-chirurgical d'emblée
&&	chirurgical si la DDB est localisée
&&	chirurgical si l’hémoptysie dans la DDB est récidivante après embolisation
##	parmi les propositions propositions suivantes une ne fait pas parti du syndrome de DEMON- MEIGS laquell&&
&&	Pleurésie avec taux de protéine pleurales est Sup >30 g/1
&&	Ascite
&&	Tumeur ovarienne
&&	Douleurs pelviennes
##	dans la P.S.F Tuberculeuse la bascilloscopie est :
&&	positive en général dans l’expectoration
&&	nécessaire à rechercher dans les urines et le LCR.
&&	dans le liquide pleurai rarement positive au ZIEHL-NELSON
&&	généralement positive dans le liquide pleural à l’examen direct
##	parmi les propositions suivantes des syndromes paranéoplasique, une a une origine neurologique autoimmune, laquelle :
&&	syndrome de Schawrtz-Barter
&&	pseudo-myasthénie ou syndrome de LAMBERT- EATON
&&	Acanthosis nigricans cutané
&&	Gynécomastie
##	dans le cas d’une forte suspicion d’une TBC pulmonaire chronique quelle serait votre conduite
&&	demander des BK avec antibiogramme
&&	commencer un ttt de 3cmi ligne dans un service spécialisé de pneumo
&&	faire une recherche de BK avec test de sensibilité (antibiogramme) et commencer un ttt de 2eme ligne en ambulatoire

&&	demande des 03 BK avec antibiogramme et commencer un ttt DE 3eme ligne
##	le BCG obligatoire à la naissance en Algérie est un vaccin qui a les caractéristiques suivantes :
&&	mycobactérium bovis vivant atténué.
&&	mycobactérium luberculosis hominis mort.
&&	obtenu par repiquages successifs d’ADP bovis pendant des années.
&&	Evite la TBC pulmonaire à 100%.
A(ac)	B(bd)	C(ad)	d(bc)
##	l’immunité anti-TBC acquise ou immunité de surinfection se caractérise :
&&	Immunité humoral&&
&&	Peut être transmise passivement à l’individu.
&&	pour vecteur principal le macrophage alvéolair&&
&&	Est illustrée par le phénomène de coch.
A(ac)	B(bc)	C(cd)	D(ad)
##	dans les pneumopathies communautaires quelles sont les indices de gravités nécessitant .'hospitalisation :
&&	présence de comorbidité
&&	hyperleucocytose > 30.000 c- FR à 20 cycles/mn
&&	infiltration parenchymateuse bilatérale à la Rx
&&	infection à streptoeoccus pneumonaire
A(ade)	B(bcd)	C(cde)	D(abd)
##	au cours d’une pneumopathie à mycoplasma pneumiae le Dgc biologique peut être posé usuellement par :
&&	L’ECB de l'expectoration
&&	Hémoculture
&&	Dosage des IgM spécifiques ou agglutinines froides
&&	L’antigénurie
##	au cours du KC bronchique primitif quel est le signe de grande sévérité pronostique :
&&	hémoptysies de petite abondance
&&	toux et expectoration mecopurulente
&&	hippocratisme digital
